list,position,experiment,item,condition,subcondition,audio
2,81,filler,1,ng,intransitive,filler_1_ng_intransitive
2,82,island,32,causative,situ,2_island_32_causative_situ
2,83,order,21,VOS,NA,2_order_21_VOS
2,84,filler,2,g,intransitive,filler_2_g_intransitive
2,85,order,6,SVO,NA,2_order_6_SVO
2,86,filler,21,m,implausible,filler_21_m_implausible
2,87,island,17,experiencer,main,2_island_17_experiencer_main
2,88,order,5,OVS,NA,2_order_5_OVS
2,89,filler,16,g,scrambled,filler_16_g_scrambled
2,90,order,25,OSV,NA,2_order_25_OSV
2,91,filler,28,g,transitive,filler_28_g_transitive
2,92,order,23,OVS,NA,2_order_23_OVS
2,93,island,1,causative,rel,2_island_1_causative_rel
2,94,filler,15,m,implausible,filler_15_m_implausible
2,95,order,12,SVO,NA,2_order_12_SVO
2,96,island,15,experiencer,situ,2_island_15_experiencer_situ
2,97,filler,3,m,implausible,filler_3_m_implausible
2,98,island,23,causative,rel,2_island_23_causative_rel
2,99,order,27,VOS,NA,2_order_27_VOS
2,100,island,26,experiencer,situ,2_island_26_experiencer_situ
2,101,order,8,SOV,NA,2_order_8_SOV
2,102,filler,39,ng,salad,filler_39_ng_salad
2,103,order,34,VSO,NA,2_order_34_VSO
2,104,filler,17,ng,transitive,filler_17_ng_transitive
2,105,order,18,SVO,NA,2_order_18_SVO
2,106,filler,29,ng,csc,filler_29_ng_csc
2,107,order,29,OVS,NA,2_order_29_OVS
2,108,filler,12,g,csc,filler_12_g_csc
2,109,order,30,SVO,NA,2_order_30_SVO
2,110,island,16,experiencer,rel,2_island_16_experiencer_rel
2,111,filler,44,g,csc,filler_44_g_csc
2,112,order,16,VSO,NA,2_order_16_VSO
2,113,filler,19,ng,salad,filler_19_ng_salad
2,114,island,5,experiencer,main,2_island_5_experiencer_main
