list,position,experiment,item,condition,subcondition,audio
2,1,filler,18,g,intransitive,filler_18_g_intransitive
2,2,filler,31,ng,salad,filler_31_ng_salad
2,3,filler,40,g,scrambled,filler_40_g_scrambled
2,4,filler,9,m,implausible,filler_9_m_implausible
2,5,filler,36,m,implausible,filler_36_m_implausible
2,6,filler,11,ng,salad,filler_11_ng_salad
2,7,order,28,VSO,NA,2_order_28_VSO
2,8,filler,34,g,intransitive,filler_34_g_intransitive
2,9,order,2,SOV,NA,2_order_2_SOV
2,10,filler,43,ng,salad,filler_43_ng_salad
2,11,order,41,OVS,NA,2_order_41_OVS
2,12,filler,32,g,scrambled,filler_32_g_scrambled
2,13,island,27,experiencer,rel,2_island_27_experiencer_rel
2,14,order,36,SVO,NA,2_order_36_SVO
2,15,filler,24,m,implausible,filler_24_m_implausible
2,16,island,9,experiencer,situ,2_island_9_experiencer_situ
2,17,filler,6,m,implausible,filler_6_m_implausible
2,18,order,24,SVO,NA,2_order_24_SVO
2,19,filler,8,g,scrambled,filler_8_g_scrambled
2,20,order,13,OSV,NA,2_order_13_OSV
2,21,island,20,causative,situ,2_island_20_causative_situ
2,22,filler,48,g,scrambled,filler_48_g_scrambled
2,23,order,3,VOS,NA,2_order_3_VOS
2,24,filler,37,ng,csc,filler_37_ng_csc
2,25,order,32,SOV,NA,2_order_32_SOV
2,26,filler,22,g,transitive,filler_22_g_transitive
2,27,island,12,causative,situ,2_island_12_causative_situ
2,28,filler,10,g,intransitive,filler_10_g_intransitive
2,29,island,4,experiencer,rel,2_island_4_experiencer_rel
2,30,order,42,SVO,NA,2_order_42_SVO
2,31,filler,30,g,csc,filler_30_g_csc
2,32,order,10,VSO,NA,2_order_10_VSO
2,33,filler,23,ng,salad,filler_23_ng_salad
2,34,order,38,SOV,NA,2_order_38_SOV
2,35,filler,14,g,transitive,filler_14_g_transitive
2,36,island,2,causative,main,2_island_2_causative_main
2,37,filler,46,g,intransitive,filler_46_g_intransitive
2,38,island,13,causative,rel,2_island_13_causative_rel
2,39,filler,26,g,transitive,filler_26_g_transitive
2,40,order,17,OVS,NA,2_order_17_OVS
2,41,island,29,experiencer,main,2_island_29_experiencer_main
2,42,order,15,VOS,NA,2_order_15_VOS
2,43,filler,42,g,transitive,filler_42_g_transitive
2,44,order,20,SOV,NA,2_order_20_SOV
2,45,filler,13,ng,transitive,filler_13_ng_transitive
2,46,island,7,causative,rel,2_island_7_causative_rel
2,47,filler,35,ng,salad,filler_35_ng_salad
2,48,order,19,OSV,NA,2_order_19_OSV
2,49,filler,41,ng,transitive,filler_41_ng_transitive
2,50,order,33,VOS,NA,2_order_33_VOS
2,51,filler,27,m,implausible,filler_27_m_implausible
2,52,order,7,OSV,NA,2_order_7_OSV
2,53,island,10,experiencer,rel,2_island_10_experiencer_rel
2,54,order,9,VOS,NA,2_order_9_VOS
2,55,filler,38,g,intransitive,filler_38_g_intransitive
2,56,island,25,causative,main,2_island_25_causative_main
2,57,order,4,VSO,NA,2_order_4_VSO
2,58,filler,25,ng,intransitive,filler_25_ng_intransitive
2,59,order,14,SOV,NA,2_order_14_SOV
2,60,filler,20,g,csc,filler_20_g_csc
2,61,order,11,OVS,NA,2_order_11_OVS
2,62,filler,5,ng,intransitive,filler_5_ng_intransitive
2,63,order,1,OSV,NA,2_order_1_OSV
2,64,island,14,causative,main,2_island_14_causative_main
2,65,order,31,OSV,NA,2_order_31_OSV
2,66,filler,7,ng,salad,filler_7_ng_salad
2,67,island,6,causative,situ,2_island_6_causative_situ
2,68,filler,4,g,transitive,filler_4_g_transitive
2,69,island,8,causative,main,2_island_8_causative_main
2,70,order,26,SOV,NA,2_order_26_SOV
2,71,filler,45,ng,intransitive,filler_45_ng_intransitive
2,72,order,40,VSO,NA,2_order_40_VSO
2,73,island,3,experiencer,situ,2_island_3_experiencer_situ
2,74,order,39,VOS,NA,2_order_39_VOS
2,75,filler,33,ng,intransitive,filler_33_ng_intransitive
2,76,order,35,OVS,NA,2_order_35_OVS
2,77,island,11,experiencer,main,2_island_11_experiencer_main
2,78,order,37,OSV,NA,2_order_37_OSV
2,79,filler,47,ng,salad,filler_47_ng_salad
2,80,order,22,VSO,NA,2_order_22_VSO
