list,position,experiment,item,condition,subcondition,audio
1,1,filler,18,g,intransitive,filler_18_g_intransitive
1,2,filler,31,ng,salad,filler_31_ng_salad
1,3,filler,40,g,scrambled,filler_40_g_scrambled
1,4,filler,9,m,implausible,filler_9_m_implausible
1,5,filler,36,m,implausible,filler_36_m_implausible
1,6,filler,11,ng,salad,filler_11_ng_salad
1,7,order,30,OSV,NA,1_order_30_OSV
1,8,filler,19,ng,salad,filler_19_ng_salad
1,9,island,14,experiencer,situ,1_island_14_experiencer_situ
1,10,order,38,VOS,NA,1_order_38_VOS
1,11,filler,30,g,csc,filler_30_g_csc
1,12,order,29,SVO,NA,1_order_29_SVO
1,13,filler,47,ng,salad,filler_47_ng_salad
1,14,island,17,causative,situ,1_island_17_causative_situ
1,15,filler,27,m,implausible,filler_27_m_implausible
1,16,order,10,OVS,NA,1_order_10_OVS
1,17,island,9,experiencer,rel,1_island_9_experiencer_rel
1,18,filler,26,g,transitive,filler_26_g_transitive
1,19,order,27,VSO,NA,1_order_27_VSO
1,20,filler,35,ng,salad,filler_35_ng_salad
1,21,order,41,SVO,NA,1_order_41_SVO
1,22,island,13,causative,main,1_island_13_causative_main
1,23,filler,37,ng,csc,filler_37_ng_csc
1,24,order,22,OVS,NA,1_order_22_OVS
1,25,island,25,experiencer,situ,1_island_25_experiencer_situ
1,26,filler,16,g,scrambled,filler_16_g_scrambled
1,27,order,2,VOS,NA,1_order_2_VOS
1,28,filler,6,m,implausible,filler_6_m_implausible
1,29,order,36,OSV,NA,1_order_36_OSV
1,30,filler,25,ng,intransitive,filler_25_ng_intransitive
1,31,order,5,SVO,NA,1_order_5_SVO
1,32,island,4,experiencer,main,1_island_4_experiencer_main
1,33,filler,28,g,transitive,filler_28_g_transitive
1,34,order,24,OSV,NA,1_order_24_OSV
1,35,filler,38,g,intransitive,filler_38_g_intransitive
1,36,order,13,SOV,NA,1_order_13_SOV
1,37,filler,2,g,intransitive,filler_2_g_intransitive
1,38,island,11,causative,situ,1_island_11_causative_situ
1,39,order,3,VSO,NA,1_order_3_VSO
1,40,filler,48,g,scrambled,filler_48_g_scrambled
1,41,order,6,OSV,NA,1_order_6_OSV
