list,position,experiment,item,condition,subcondition,audio
6,1,filler,18,g,intransitive,filler_18_g_intransitive
6,2,filler,31,ng,salad,filler_31_ng_salad
6,3,filler,40,g,scrambled,filler_40_g_scrambled
6,4,filler,9,m,implausible,filler_9_m_implausible
6,5,filler,36,m,implausible,filler_36_m_implausible
6,6,filler,11,ng,salad,filler_11_ng_salad
6,7,order,18,SOV,NA,6_order_18_SOV
6,8,filler,14,g,transitive,filler_14_g_transitive
6,9,island,17,causative,rel,6_island_17_causative_rel
6,10,order,15,OVS,NA,6_order_15_OVS
6,11,filler,15,m,implausible,filler_15_m_implausible
6,12,order,13,VOS,NA,6_order_13_VOS
6,13,island,14,experiencer,rel,6_island_14_experiencer_rel
6,14,order,1,VOS,NA,6_order_1_VOS
6,15,island,7,experiencer,situ,6_island_7_experiencer_situ
6,16,filler,5,ng,intransitive,filler_5_ng_intransitive
6,17,island,11,causative,rel,6_island_11_causative_rel
6,18,filler,44,g,csc,filler_44_g_csc
6,19,order,21,OVS,NA,6_order_21_OVS
6,20,filler,32,g,scrambled,filler_32_g_scrambled
6,21,order,40,SVO,NA,6_order_40_SVO
6,22,island,5,causative,rel,6_island_5_causative_rel
6,23,order,27,OVS,NA,6_order_27_OVS
6,24,filler,29,ng,csc,filler_29_ng_csc
6,25,order,9,OVS,NA,6_order_9_OVS
6,26,filler,28,g,transitive,filler_28_g_transitive
6,27,island,9,experiencer,main,6_island_9_experiencer_main
6,28,order,11,OSV,NA,6_order_11_OSV
6,29,filler,48,g,scrambled,filler_48_g_scrambled
6,30,order,30,SOV,NA,6_order_30_SOV
6,31,island,27,causative,situ,6_island_27_causative_situ
6,32,filler,20,g,csc,filler_20_g_csc
6,33,order,23,OSV,NA,6_order_23_OSV
6,34,filler,8,g,scrambled,filler_8_g_scrambled
6,35,order,25,VOS,NA,6_order_25_VOS
6,36,island,1,experiencer,situ,6_island_1_experiencer_situ
6,37,order,12,SOV,NA,6_order_12_SOV
6,38,filler,10,g,intransitive,filler_10_g_intransitive
6,39,order,31,VOS,NA,6_order_31_VOS
6,40,filler,30,g,csc,filler_30_g_csc
6,41,order,37,VOS,NA,6_order_37_VOS
6,42,filler,39,ng,salad,filler_39_ng_salad
6,43,island,16,causative,situ,6_island_16_causative_situ
6,44,filler,23,ng,salad,filler_23_ng_salad
6,45,island,25,experiencer,rel,6_island_25_experiencer_rel
6,46,order,38,VSO,NA,6_order_38_VSO
6,47,filler,26,g,transitive,filler_26_g_transitive
6,48,order,19,VOS,NA,6_order_19_VOS
6,49,filler,25,ng,intransitive,filler_25_ng_intransitive
6,50,order,14,VSO,NA,6_order_14_VSO
6,51,filler,46,g,intransitive,filler_46_g_intransitive
6,52,island,32,causative,main,6_island_32_causative_main
6,53,order,41,OSV,NA,6_order_41_OSV
6,54,filler,33,ng,intransitive,filler_33_ng_intransitive
6,55,order,36,SOV,NA,6_order_36_SOV
6,56,island,23,experiencer,situ,6_island_23_experiencer_situ
6,57,filler,24,m,implausible,filler_24_m_implausible
6,58,order,35,OSV,NA,6_order_35_OSV
6,59,filler,22,g,transitive,filler_22_g_transitive
6,60,island,13,experiencer,situ,6_island_13_experiencer_situ
6,61,order,28,SVO,NA,6_order_28_SVO
6,62,filler,17,ng,transitive,filler_17_ng_transitive
6,63,order,34,SVO,NA,6_order_34_SVO
6,64,filler,6,m,implausible,filler_6_m_implausible
6,65,order,2,VSO,NA,6_order_2_VSO
6,66,filler,41,ng,transitive,filler_41_ng_transitive
6,67,island,2,experiencer,rel,6_island_2_experiencer_rel
6,68,order,8,VSO,NA,6_order_8_VSO
6,69,filler,16,g,scrambled,filler_16_g_scrambled
6,70,order,7,VOS,NA,6_order_7_VOS
6,71,filler,4,g,transitive,filler_4_g_transitive
6,72,island,6,causative,main,6_island_6_causative_main
6,73,order,3,OVS,NA,6_order_3_OVS
6,74,filler,47,ng,salad,filler_47_ng_salad
6,75,order,4,SVO,NA,6_order_4_SVO
6,76,island,4,causative,situ,6_island_4_causative_situ
6,77,order,17,OSV,NA,6_order_17_OSV
6,78,filler,3,m,implausible,filler_3_m_implausible
6,79,order,16,SVO,NA,6_order_16_SVO
6,80,island,10,causative,situ,6_island_10_causative_situ
6,81,filler,7,ng,salad,filler_7_ng_salad
6,82,order,20,VSO,NA,6_order_20_VSO
6,83,filler,34,g,intransitive,filler_34_g_intransitive
6,84,order,22,SVO,NA,6_order_22_SVO
6,85,filler,37,ng,csc,filler_37_ng_csc
6,86,island,20,causative,main,6_island_20_causative_main
6,87,order,24,SOV,NA,6_order_24_SOV
6,88,filler,43,ng,salad,filler_43_ng_salad
6,89,order,29,OSV,NA,6_order_29_OSV
6,90,filler,13,ng,transitive,filler_13_ng_transitive
6,91,island,8,experiencer,rel,6_island_8_experiencer_rel
6,92,filler,42,g,transitive,filler_42_g_transitive
6,93,order,5,OSV,NA,6_order_5_OSV
6,94,island,15,experiencer,main,6_island_15_experiencer_main
6,95,filler,35,ng,salad,filler_35_ng_salad
6,96,order,6,SOV,NA,6_order_6_SOV
6,97,filler,27,m,implausible,filler_27_m_implausible
6,98,island,12,causative,main,6_island_12_causative_main
6,99,filler,12,g,csc,filler_12_g_csc
