list,position,experiment,item,condition,subcondition,audio
3,1,filler,18,g,intransitive,filler_18_g_intransitive
3,2,filler,31,ng,salad,filler_31_ng_salad
3,3,filler,40,g,scrambled,filler_40_g_scrambled
3,4,filler,9,m,implausible,filler_9_m_implausible
3,5,filler,36,m,implausible,filler_36_m_implausible
3,6,filler,11,ng,salad,filler_11_ng_salad
3,7,order,11,VSO,NA,3_order_11_VSO
3,8,filler,24,m,implausible,filler_24_m_implausible
3,9,island,7,causative,situ,3_island_7_causative_situ
3,10,order,30,OVS,NA,3_order_30_OVS
3,11,filler,14,g,transitive,filler_14_g_transitive
3,12,island,10,experiencer,situ,3_island_10_experiencer_situ
3,13,filler,27,m,implausible,filler_27_m_implausible
3,14,order,32,OSV,NA,3_order_32_OSV
3,15,filler,45,ng,intransitive,filler_45_ng_intransitive
3,16,island,16,experiencer,situ,3_island_16_experiencer_situ
3,17,order,16,VOS,NA,3_order_16_VOS
3,18,filler,13,ng,transitive,filler_13_ng_transitive
3,19,order,31,SVO,NA,3_order_31_SVO
3,20,filler,15,m,implausible,filler_15_m_implausible
3,21,island,8,causative,rel,3_island_8_causative_rel
3,22,order,14,OSV,NA,3_order_14_OSV
3,23,island,11,experiencer,rel,3_island_11_experiencer_rel
3,24,order,10,VOS,NA,3_order_10_VOS
3,25,filler,35,ng,salad,filler_35_ng_salad
3,26,order,9,SOV,NA,3_order_9_SOV
3,27,island,26,causative,main,3_island_26_causative_main
3,28,order,6,OVS,NA,3_order_6_OVS
3,29,filler,37,ng,csc,filler_37_ng_csc
3,30,order,28,VOS,NA,3_order_28_VOS
3,31,order,15,SOV,NA,3_order_15_SOV
3,32,filler,6,m,implausible,filler_6_m_implausible
3,33,order,39,SOV,NA,3_order_39_SOV
3,34,island,12,experiencer,main,3_island_12_experiencer_main
3,35,filler,30,g,csc,filler_30_g_csc
3,36,island,4,experiencer,situ,3_island_4_experiencer_situ
3,37,filler,21,m,implausible,filler_21_m_implausible
3,38,order,4,VOS,NA,3_order_4_VOS
3,39,filler,10,g,intransitive,filler_10_g_intransitive
3,40,island,1,causative,situ,3_island_1_causative_situ
3,41,order,17,VSO,NA,3_order_17_VSO
3,42,filler,3,m,implausible,filler_3_m_implausible
3,43,order,27,SOV,NA,3_order_27_SOV
3,44,filler,34,g,intransitive,filler_34_g_intransitive
3,45,order,40,VOS,NA,3_order_40_VOS
3,46,filler,47,ng,salad,filler_47_ng_salad
3,47,order,33,SOV,NA,3_order_33_SOV
3,48,filler,38,g,intransitive,filler_38_g_intransitive
3,49,island,29,experiencer,rel,3_island_29_experiencer_rel
3,50,filler,7,ng,salad,filler_7_ng_salad
3,51,filler,12,g,csc,filler_12_g_csc
3,52,order,42,OVS,NA,3_order_42_OVS
3,53,filler,22,g,transitive,filler_22_g_transitive
3,54,order,35,VSO,NA,3_order_35_VSO
3,55,island,23,causative,situ,3_island_23_causative_situ
3,56,filler,26,g,transitive,filler_26_g_transitive
3,57,order,21,SOV,NA,3_order_21_SOV
3,58,filler,16,g,scrambled,filler_16_g_scrambled
3,59,order,22,VOS,NA,3_order_22_VOS
3,60,island,25,causative,rel,3_island_25_causative_rel
3,61,order,24,OVS,NA,3_order_24_OVS
3,62,filler,19,ng,salad,filler_19_ng_salad
3,63,island,6,experiencer,main,3_island_6_experiencer_main
3,64,order,37,SVO,NA,3_order_37_SVO
3,65,filler,23,ng,salad,filler_23_ng_salad
3,66,order,7,SVO,NA,3_order_7_SVO
3,67,filler,43,ng,salad,filler_43_ng_salad
3,68,order,38,OSV,NA,3_order_38_OSV
3,69,island,2,causative,rel,3_island_2_causative_rel
3,70,filler,8,g,scrambled,filler_8_g_scrambled
3,71,island,27,experiencer,situ,3_island_27_experiencer_situ
3,72,order,2,OSV,NA,3_order_2_OSV
3,73,filler,29,ng,csc,filler_29_ng_csc
3,74,island,15,causative,main,3_island_15_causative_main
3,75,order,29,VSO,NA,3_order_29_VSO
3,76,filler,32,g,scrambled,filler_32_g_scrambled
3,77,order,19,SVO,NA,3_order_19_SVO
3,78,filler,42,g,transitive,filler_42_g_transitive
3,79,order,26,OSV,NA,3_order_26_OSV
3,80,island,9,causative,main,3_island_9_causative_main
3,81,filler,48,g,scrambled,filler_48_g_scrambled
3,82,island,14,causative,rel,3_island_14_causative_rel
3,83,filler,28,g,transitive,filler_28_g_transitive
3,84,order,1,SVO,NA,3_order_1_SVO
3,85,filler,41,ng,transitive,filler_41_ng_transitive
3,86,island,32,experiencer,main,3_island_32_experiencer_main
3,87,filler,17,ng,transitive,filler_17_ng_transitive
3,88,order,8,OSV,NA,3_order_8_OSV
3,89,filler,46,g,intransitive,filler_46_g_intransitive
3,90,order,5,VSO,NA,3_order_5_VSO
3,91,filler,39,ng,salad,filler_39_ng_salad
3,92,order,20,OSV,NA,3_order_20_OSV
3,93,island,5,experiencer,rel,3_island_5_experiencer_rel
3,94,order,34,VOS,NA,3_order_34_VOS
3,95,filler,44,g,csc,filler_44_g_csc
3,96,order,25,SVO,NA,3_order_25_SVO
3,97,filler,4,g,transitive,filler_4_g_transitive
3,98,order,18,OVS,NA,3_order_18_OVS
3,99,filler,5,ng,intransitive,filler_5_ng_intransitive
3,100,order,3,SOV,NA,3_order_3_SOV
3,101,island,13,causative,situ,3_island_13_causative_situ
3,102,filler,2,g,intransitive,filler_2_g_intransitive
3,103,island,3,causative,main,3_island_3_causative_main
3,104,order,36,OVS,NA,3_order_36_OVS
3,105,filler,1,ng,intransitive,filler_1_ng_intransitive
3,106,island,20,experiencer,main,3_island_20_experiencer_main
3,107,order,41,VSO,NA,3_order_41_VSO
3,108,filler,25,ng,intransitive,filler_25_ng_intransitive
3,109,order,13,SVO,NA,3_order_13_SVO
3,110,filler,20,g,csc,filler_20_g_csc
3,111,order,23,VSO,NA,3_order_23_VSO
3,112,island,17,experiencer,rel,3_island_17_experiencer_rel
3,113,filler,33,ng,intransitive,filler_33_ng_intransitive
3,114,order,12,OVS,NA,3_order_12_OVS
